date,nsa_mfg_ship_c,nsa_mfg_new_orders_c,nsa_mfg_bk_logs_c,nsa_mfg_cap_util_c,nsa_mfg_vend_lead_c,nsa_mfg_emp_c,nsa_mfg_workwk_c,nsa_mfg_wage_c,nsa_mfg_fd_gds_inv_c,nsa_mfg_raw_mats_inv_c,nsa_mfg_pct_chg_prcs_recd_c,nsa_mfg_pct_chg_prcs_pd_c,sa_mfg_composite,sa_mfg_ship_c,sa_mfg_new_orders_c,sa_mfg_bk_logs_c,sa_mfg_cap_util_c,sa_mfg_vend_lead_c,sa_mfg_emp_c,sa_mfg_workwk_c,sa_mfg_wage_c,sa_mfg_fd_gds_inv_c,sa_mfg_raw_mats_inv_c,sa_mfg_pct_chg_prcs_recd_c,sa_mfg_pct_chg_prcs_pd_c,nsa_mfg_ship_e,nsa_mfg_new_orders_e,nsa_mfg_bk_logs_e,nsa_mfg_cap_util_e,nsa_mfg_vend_lead_e,nsa_mfg_emp_e,nsa_mfg_workwk_e,nsa_mfg_wage_e,nsa_mfg_capital_expnd_e,nsa_mfg_pct_chg_prcs_recd_e,nsa_mfg_pct_chg_prcs_pd_e,sa_mfg_ship_e,sa_mfg_new_orders_e,sa_mfg_bk_logs_e,sa_mfg_cap_util_e,sa_mfg_vend_lead_e,sa_mfg_emp_e,sa_mfg_workwk_e,sa_mfg_wage_e,sa_mfg_capital_expnd_e,sa_mfg_pct_chg_prcs_recd_e,sa_mfg_pct_chg_prcs_pd_e,sa_mfg_local_bus_cond_c,sa_mfg_nec_skls_avail_e,sa_mfg_local_bus_cond_e,sa_mfg_nec_skls_avail_c,sa_mfg_equip_sftw_expnd_e,sa_mfg_bus_svcs_expnd_e,sa_mfg_equip_sftw_expnd_c,sa_mfg_capital_expnd_c,sa_mfg_bus_svcs_expnd_c,sa_mfg_fd_gds_inv_e,sa_mfg_raw_mats_inv_e,nsa_mfg_nec_skls_avail_e,nsa_mfg_equip_sftw_expnd_e,nsa_mfg_bus_svcs_expnd_e,nsa_mfg_local_bus_cond_c,nsa_mfg_nec_skls_avail_c,nsa_mfg_equip_sftw_expnd_c,nsa_mfg_local_bus_cond_e,nsa_mfg_capital_expnd_c,nsa_mfg_bus_svcs_expnd_c,nsa_mfg_fd_gds_inv_e,nsa_mfg_raw_mats_inv_e
9/1/94,26,31,10,#N/A,#N/A,12,22,#N/A,#N/A,#N/A,#N/A,#N/A,21,20,28,9,#N/A,#N/A,11,17,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,10,2,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,11,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/94,26,31,10,#N/A,#N/A,12,22,#N/A,#N/A,#N/A,#N/A,#N/A,23,24,29,7,#N/A,#N/A,13,18,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,10,2,#N/A,#N/A,#N/A,#N/A,36,#N/A,#N/A,#N/A,#N/A,12,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/1/94,11,14,4,#N/A,#N/A,7,4,#N/A,#N/A,#N/A,#N/A,#N/A,11,10,15,4,#N/A,#N/A,7,5,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,14,7,#N/A,#N/A,#N/A,#N/A,32,#N/A,#N/A,#N/A,#N/A,11,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/94,10,15,5,#N/A,#N/A,8,3,#N/A,#N/A,#N/A,#N/A,#N/A,17,19,19,6,#N/A,#N/A,10,10,#N/A,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,18,5,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,15,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/95,6,12,-1,#N/A,#N/A,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,14,17,17,1,#N/A,#N/A,6,8,#N/A,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,17,12,#N/A,#N/A,#N/A,#N/A,32,#N/A,#N/A,#N/A,#N/A,13,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/95,6,12,-1,#N/A,#N/A,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,12,13,14,-2,#N/A,#N/A,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,17,12,#N/A,#N/A,#N/A,#N/A,29,#N/A,#N/A,#N/A,#N/A,11,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/95,20,8,-5,#N/A,#N/A,10,4,#N/A,#N/A,#N/A,#N/A,#N/A,7,10,3,-7,#N/A,#N/A,10,3,#N/A,#N/A,#N/A,#N/A,#N/A,21,#N/A,#N/A,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,#N/A,19,#N/A,#N/A,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/95,-5,-5,-8,#N/A,#N/A,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,-8,-11,-13,-13,#N/A,#N/A,3,-1,#N/A,#N/A,#N/A,#N/A,#N/A,37,#N/A,#N/A,#N/A,#N/A,0,8,#N/A,#N/A,#N/A,#N/A,31,#N/A,#N/A,#N/A,#N/A,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/95,-5,-5,-8,#N/A,#N/A,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,-2,-4,-3,-8,#N/A,#N/A,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,37,#N/A,#N/A,#N/A,#N/A,0,8,#N/A,#N/A,#N/A,#N/A,31,#N/A,#N/A,#N/A,#N/A,4,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/95,-5,-18,-26,#N/A,#N/A,5,-12,#N/A,#N/A,#N/A,#N/A,#N/A,-9,-10,-16,-22,#N/A,#N/A,1,-9,#N/A,#N/A,#N/A,#N/A,#N/A,23,#N/A,#N/A,#N/A,#N/A,7,0,#N/A,#N/A,#N/A,#N/A,25,#N/A,#N/A,#N/A,#N/A,8,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
